,time,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,linacce_x,linacce_y,linacce_z,grav_x,grav_y,grav_z,magnet_x,magnet_y,magnet_z,pos_x,pos_y,pos_z,ori_w,ori_x,ori_y,ori_z,rv_w,rv_x,rv_y,rv_z
1538,1678843338325.2666,14.680772786458334,7.256580729166667,-55.784083333333335,-0.32715559895833335,0.19,-0.64,-0.34,0.85,0.11,0.012844401041666667,-0.66,-0.75,494.83,852.1,-466.65,0.3026311607142857,-0.742563998046875,-0.24212608035714286,0.12700799170265328,-0.4198252700657121,0.6573116557969003,0.6128269610395408,0.30404081499750607,0.025502800802318322,0.22880398866483304,0.9244231592860621
1539,1678843338329.6873,13.510772949218751,7.056177734375,-56.1613125,-0.32420849609375,0.19,-0.64,-0.34,0.85,0.11,0.01579150390625,-0.66,-0.75,494.83,852.1,-466.65,0.30770065880102043,-0.7498100819614956,-0.2423974544005102,0.12754623723934433,-0.4198967523486007,0.6567321709356603,0.613287386016312,0.30384810213473384,0.02504886384454207,0.22856359543652666,0.9245583721798956
1540,1678843338334.3933,12.265237141927084,6.842836588541666,-56.562895833333336,-0.32107112630208334,0.19,-0.64,-0.34,0.85,0.11,0.018928873697916668,-0.66,-0.75,494.83,852.1,-466.65,0.31309744706632653,-0.7575239778878349,-0.24268634853316326,0.12811911421356087,-0.4199724607713156,0.6561146659784715,0.6137769684955906,0.30359120371786036,0.02452136222005143,0.22825877959070145,0.9247321850057416
1541,1678843338339.332,4.682796874999999,5.1839531249999995,-58.4526484375,-0.3133359375,0.1833359375,-0.6466640625,-0.3333359375,0.85,0.1033359375,0.02,-0.6666640625,-0.75,494.83,852.1,-466.65,0.3187610510204082,-0.7656192466517857,-0.24298952551020409,0.12872018255520412,-0.42005148093206707,0.655465957919283,0.6142901255520906,0.3026666553654537,0.023543615201776898,0.22731914338791318,0.9252919794832318
1542,1678843338344.451,-1.00506591796875,4.0587109375,-59.91665771484375,-0.31,0.18,-0.65690185546875,-0.33,0.84309814453125,0.09309814453125,0.02,-0.66309814453125,-0.75,494.83,852.1,-466.65,0.32463127614795917,-0.7740098492606027,-0.24330376307397958,0.12934303643355896,-0.42013291770865563,0.6547928559203008,0.6148213219827262,0.3017980678844498,0.02452581150877595,0.22638074921945334,0.9257793701393514
1543,1678843338349.6978,-2.447347900390625,3.885964599609375,-60.314968017578124,-0.31,0.18,-0.66,-0.33,0.84,0.088151123046875,0.02,-0.66,-0.748151123046875,496.1500981445312,853.4219470214844,-466.013986328125,0.3306482079081633,-0.7826101469029018,-0.24362585395408162,0.12998130487384763,-0.4202158971193841,0.6541021641538702,0.6153650730599513,0.3016818059107558,0.025408400933773712,0.22617541137007274,0.9258435775449813
1544,1678843338355.019,-3.163061279296875,3.851376220703125,-60.509195068359375,-0.31,0.18,-0.66,-0.33,0.84,0.085490478515625,0.02,-0.66,-0.745490478515625,498.04979833984373,855.3243078613282,-465.098724609375,0.3367505318877551,-0.791332499860491,-0.24395251594387754,0.13062847410107406,-0.42029954472121056,0.6534008769955919,0.6159157950538267,0.3016914806412492,0.026088204072319144,0.2261068389832667,0.9258382860510314
1545,1678843338360.3623,-3.8817299804687497,3.81664501953125,-60.704224121093745,-0.31,0.18,-0.66,-0.33,0.84,0.08281884765625,0.02,-0.66,-0.74281884765625,499.9573427734375,857.2345239257812,-464.17968359375,0.3428780535714286,-0.800090869140625,-0.24428052678571427,0.13127815522141814,-0.4203830213947748,0.6526958912973888,0.6164680345059516,0.30170105357037896,0.02677080201701391,0.22603787720837162,0.9258325376996722
1546,1678843338365.676,-4.596425415039062,3.7821058349609373,-60.89817492675781,-0.31,0.18,-0.66,-0.33,0.84,0.0801619873046875,0.02,-0.66,-0.7401619873046875,501.85434106445314,859.1341790771485,-463.26572363281247,0.3489716983418367,-0.8088008164760044,-0.24460672417091836,0.13192408429582186,-0.42046552334671655,0.6519940062935916,0.6170164682830811,0.30171043270317466,0.027449613640600688,0.22596919115419112,0.9258263888358168
1547,1678843338370.9124,-13.238982631138393,7.514229561941965,-65.36440307617187,-0.31,0.15649117606026786,-0.7070176478794642,-0.33,0.8264911760602678,0.039473528180803574,0.02,-0.67,-0.7464911760602678,510.8462983049665,863.7939700753348,-457.0737431989397,0.3525118009516878,-0.8137699567594708,-0.24464267575361143,0.1321528642470378,-0.42019579018642694,0.6513243332469308,0.617857947100118,0.3024852770273521,0.03244492737490562,0.22622517361486033,0.9253495912318631
1548,1678843338376.0728,-15.7380908203125,8.863305664062501,-66.57709716796874,-0.31,0.15280517578125,-0.7143896484375,-0.33,0.82280517578125,0.02841552734375,0.02,-0.67,-0.7428051757812499,522.0406811523437,859.1864697265624,-448.8207885742188,0.35517855956109967,-0.81746178509176,-0.24458289300191627,0.13224220943208134,-0.4198124693542076,0.6506710398758213,0.6187869885322506,0.30291371665729655,0.034922324627358725,0.22639918534353398,0.9250767276987952
1549,1678843338381.1858,-21.39901611328125,12.039856414794922,-69.4226432800293,-0.31,0.14,-0.7402322387695313,-0.34,0.81,-0.00023223876953125,0.03,-0.67,-0.74,521.62,846.75,-454.6,0.3578208420778671,-0.8211197290177256,-0.24452365894936615,0.13233054613791687,-0.4194320685144602,0.6500228154065364,0.6197066211986315,0.30308286675082785,0.03554185746861879,0.22650757430545135,0.9249711207602124
1550,1678843338386.279,-22.46860107421875,12.584198760986329,-70.04338455200195,-0.31,0.14,-0.7465988159179687,-0.34,0.81,-0.0065988159179687506,0.03,-0.67,-0.74,521.62,846.75,-454.6,0.3604529051951283,-0.8247635253307415,-0.24446465399285083,0.13241835457036935,-0.4190525474640826,0.649376181406813,0.6206218230875284,0.30325123143331006,0.03615897871767098,0.22661544600894185,0.9248655219466768
1551,1678843338391.38,-23.539775390625,13.129349975585937,-70.66504821777343,-0.31,0.14,-0.752974853515625,-0.34,0.81,-0.012974853515625,0.03,-0.67,-0.74,521.62,846.75,-454.6,0.36308887944059554,-0.8284127361622936,-0.24440556135760613,0.13250610668564042,-0.41867187136388495,0.6487276705577619,0.6215375094117396,0.30341971498812276,0.03677700124747234,0.2267233798810773,0.9247593658238689
1552,1678843338396.5166,-24.618486328124998,13.678336791992187,-71.29108581542968,-0.31,0.14,-0.759395751953125,-0.34,0.81,-0.019395751953125002,0.03,-0.67,-0.74,521.62,846.75,-454.6,0.36574340000368516,-0.832087622291421,-0.2443460529554835,0.13259428717339472,-0.41828791963318324,0.6480736714539707,0.6224587516259517,0.3035892510963008,0.03739935590747705,0.22683197387682824,0.9246520579190531
1553,1678843338401.7166,-32.03065673828125,14.5412470703125,-77.39662060546875,-0.31943310546875003,0.11170068359375,-0.82603173828125,-0.3588662109375,0.772267578125,-0.0765986328125,0.03943310546875,-0.6605668945312501,-0.74943310546875,521.62,846.75,-454.6,0.3684305974121094,-0.8358077458496094,-0.24428581201171876,0.13268335980606444,-0.41789863160462,0.6474106767587159,0.6233904265332142,0.3037607382891563,0.03802935486231899,0.2269418031255012,0.9245430152783551
1554,1678843338407.007,-34.43945149739583,14.21725070529514,-80.71417724609375,-0.32,0.10443657769097223,-0.8466902669270833,-0.3655634223090278,0.7644365776909723,-0.10225368923611111,0.04556342230902778,-0.66,-0.7444365776909723,521.62,842.7721530490452,-456.51381727430555,0.3711646021935805,-0.8395926689683446,-0.24422452175154777,0.13277378418837704,-0.41750193353546744,0.6467351588834234,0.6243373913160882,0.3042529795655248,0.039345011384629286,0.22729198288386482,0.9242400107537152
1555,1678843338412.4165,-36.389623046875,13.9001689453125,-83.63943457031249,-0.314333984375,0.1028330078125,-0.865666015625,-0.3671669921875,0.7628330078125,-0.12283300781249999,0.0528330078125,-0.66,-0.7428330078125,521.62,839.6,-458.04,0.37396004953751477,-0.8434626524266656,-0.24416185408682195,0.13286603223320376,-0.41709566475948295,0.6460434443358954,0.6253046572800192,0.3050020022954422,0.04121394408103317,0.2278344117760459,0.9237780320482938
1556,1678843338417.9724,-37.47820678710938,13.917801666259765,-85.23039642333984,-0.2987672424316406,0.11,-0.8812327575683594,-0.3587672424316406,0.77,-0.1312327575683594,0.06,-0.66,-0.75,521.62,840.481421661377,-458.46406860351567,0.37683119613705046,-0.8474374330179466,-0.24409748941443102,0.13296055871088458,-0.41667770513324753,0.6453319308552297,0.6262970827778314,0.3090302643488114,0.0465446364864942,0.23072774136296947,0.9214660887154611
1557,1678843338423.6982,-37.8503857421875,14.114627075195312,-85.66699096679687,-0.2951885986328125,0.11,-0.8848114013671875,-0.3551885986328125,0.77,-0.1348114013671875,0.06,-0.66,-0.75,521.62,843.040151977539,-459.6951220703125,0.38143102954101565,-0.8534112803955078,-0.2426537429199219,0.13319060148813375,-0.41664251734523955,0.6459314020080342,0.62565333377563,0.31055611732741584,0.04716847353906775,0.23174864094642705,0.9206647669594962
1558,1678843338429.567,-38.23184814453125,14.316361999511718,-86.11447570800782,-0.29152069091796873,0.11,-0.8884793090820312,-0.3515206909179687,0.77,-0.13847930908203127,0.06,-0.66,-0.75,521.62,845.6627059936524,-460.9568823242188,0.38706766052246094,-0.8605891661987305,-0.24039997082519532,0.13350050408112968,-0.4168274617271749,0.6472927769643267,0.624055152545094,0.31453589940144466,0.04693627082078955,0.2338784028345393,0.9187843561851069
1559,1678843338435.5137,-35.173038194444445,17.691139322916666,-84.56268446180555,-0.2665755208333333,0.13342447916666667,-0.92513671875,-0.3265755208333333,0.7895203993055555,-0.1673285590277778,0.06,-0.656095920138889,-0.7578081597222223,520.9250737847223,848.8386827256944,-460.8084982638889,0.3927793277762277,-0.8678626058523995,-0.23811619594029018,0.13381391425596217,-0.41701293874685763,0.6486692788204411,0.6224328071781837,0.31985165090394124,0.0427957791698475,0.23399493869082516,0.9171198872517055
1560,1678843338441.4756,-29.929328124999998,23.1838359375,-81.61220703125,-0.23,0.17190234375000002,-0.98190234375,-0.29,0.82,-0.21190234375,0.06,-0.64809765625,-0.77,519.84,852.1,-459.76,0.39850553330775673,-0.8751545590645926,-0.23582660801478794,0.13412749633000234,-0.41719693744066594,0.6500462505540092,0.6208034209594859,0.3213438340240448,0.04128424317510104,0.23487558768447914,0.9164425423895245
1561,1678843338447.3875,-27.65049850463867,26.92027603149414,-79.11153182983398,-0.23,0.19,-1.000867156982422,-0.2908671569824219,0.8208671569824219,-0.23086715698242188,0.06086715698242187,-0.6308671569824219,-0.77,521.5439634704591,852.2552210998535,-459.9091510009766,0.4041836687273298,-0.8823852980913435,-0.23355624062674385,0.13443782574249627,-0.4173774622727341,0.6514086570633653,0.6191848420647188,0.3243404068582208,0.0381564930939988,0.23666177639424973,0.9150618229438727
1562,1678843338453.1865,-26.900243530273436,28.467903442382813,-78.11481628417968,-0.23,0.19,-1.0044915771484375,-0.2944915771484375,0.8244915771484375,-0.2344915771484375,0.0644915771484375,-0.6344915771484375,-0.77,528.6659490966797,852.9039923095703,-460.53255126953127,0.40975347052873884,-0.8894780812465123,-0.23132918976702008,0.13474163293171565,-0.4175526755759292,0.6527421559390402,0.6175943738052602,0.32587876946837796,0.036592802414059884,0.23762002267767812,0.9143304773471679
1563,1678843338458.8071,-26.173077697753907,29.967902526855468,-77.14877471923828,-0.23,0.19,-1.0080044555664063,-0.29800445556640626,0.8280044555664062,-0.23800445556640626,0.06800445556640626,-0.6380044555664063,-0.77,535.5687551879882,853.5327975463867,-461.1367663574219,0.41515186134556364,-0.8963525835745675,-0.22917067653111048,0.135035520740344,-0.41772073113741387,0.6540318564532971,0.6160502406739158,0.32665395760289934,0.035845868100590934,0.2381236098744841,0.9139525018375211
1564,1678843338464.1863,-23.978182373046877,35.648033447265625,-73.35337524414062,-0.23728759765625002,0.19,-1.020931396484375,-0.30728759765625,0.82271240234375,-0.24728759765625,0.07,-0.63271240234375,-0.7736437988281251,536.8846838378906,855.1908361816406,-471.52230957031253,0.420318343183245,-0.9029317647835867,-0.22710489066859654,0.13531625713423656,-0.41787993899953974,0.6552636036637284,0.6145700402864375,0.32739536893233956,0.035130968862335056,0.2386052168193082,0.9135894324636255
1565,1678843338469.2593,-20.145215928819447,45.06063151041667,-66.82669542100695,-0.2527983940972222,0.19,-1.0372016059027778,-0.3227983940972222,0.8086008029513889,-0.25580240885416666,0.07,-0.6186008029513889,-0.7813991970486112,532.0909429253472,851.2111859809028,-486.38852159288194,0.42519077662876675,-0.909136494341169,-0.22515667824009486,0.13558054289438037,-0.41802862594976586,0.6564229577468987,0.6131719380066801,0.32923406690135426,0.03373078596532436,0.23989897195517662,0.9126421413808391
1566,1678843338473.9624,-17.438306206597222,48.76042317708333,-63.60244194878472,-0.2632497829861111,0.19,-1.026750217013889,-0.33324978298611113,0.8033751085069445,-0.24012532552083335,0.07,-0.6133751085069444,-0.7866248914930556,531.1607693142361,827.8732345920139,-476.4858306206597,0.4297079602225168,-0.9148888361380441,-0.22335051027134487,0.13582514891573716,-0.41816520595604967,0.6574957950646879,0.6118739141136359,0.3309630052027161,0.03274707760885356,0.2411839352076459,0.911713518942731
